TRADING_NAME,ADDRESS,LOCATION,POSTCODE,AREA_DESCRIPTION,REGION_DESCRIPTION,latitude,longitude
Shell Coles Express Wonthella,115 North West Coastal Hwy,WONTHELLA,6530,Geraldton,Mid-West,-28.7688,114.6243
Shell Geraldton Truckstop,102 Deepdale Rd,MERU,6530,Geraldton,Mid-West,-28.7928,114.691
Shell Gidgegannup,2095 Toodyay Rd,GIDGEGANNUP,6083,East/Hills,Metro,-31.7932,116.1941
Shell High Wycombe,1100 Abernethy Rd,HIGH WYCOMBE,6057,East/Hills,Metro,-31.9382,115.9921
Shell Lower King Liquor & General,629 Lower King Rd,LOWER KING,6330,Albany,Great Southern,-34.9493,117.9437
Shell Reddy Express Albany Orana,342 Albany Hwy,ORANA,6330,Albany,Great Southern,-35.0025,117.8654
Shell Reddy Express Armadale,269 South Western Hwy,ARMADALE,6112,South of River,Metro,-32.1689,116.0147
Shell Reddy Express Banksia Grove,1001 Joondalup Dr,BANKSIA GROVE,6031,North of River,Metro,-31.7066,115.8026
Shell Reddy Express Bayswater,34 Jackson St,BAYSWATER,6053,North of River,Metro,-31.9068,115.9268
Shell Reddy Express Bentley,1128 Albany Hwy,BENTLEY,6102,South of River,Metro,-32.0007,115.9189
Shell Reddy Express Bibra Lake,1 Timberyard Way,BIBRA LAKE,6163,South of River,Metro,-32.1172,115.8074
Shell Reddy Express Bicton,394 Canning Hwy,BICTON,6157,South of River,Metro,-32.0341,115.7927
Shell Reddy Express Boulder,35 Frank St,BOULDER,6432,Boulder,Goldfields-Esperance,-30.7674,121.4845
Shell Reddy Express Brentwood,71 Cranford Ave,BRENTWOOD,6153,South of River,Metro,-32.0412,115.8489
Shell Reddy Express Brighton,61 Butler Bvd,BUTLER,6036,North of River,Metro,-31.6382,115.6954
Shell Reddy Express Brookdale,1256 Armadale Rd,ARMADALE,6112,South of River,Metro,-32.1476,115.9855
Shell Reddy Express Broome,19 Napier Tce,BROOME,6725,Broome,Kimberley,-17.9555,122.2419
Shell Reddy Express Bull Creek,44 Benningfield Rd,BULL CREEK,6149,South of River,Metro,-32.0643,115.8571
Shell Reddy Express Bunbury Gateway,9805 Forrest Hwy,GLEN IRIS,6230,Bunbury,South-West,-33.3349,115.6853
Shell Reddy Express Bunbury Outbound,9850 Forrest Hwy,VITTORIA,6230,Bunbury,South-West,-33.3345,115.6821
Shell Reddy Express Bunbury,70 Forrest Ave,SOUTH BUNBURY,6230,Bunbury,South-West,-33.3408,115.6459
Shell Reddy Express Busselton,88 Causeway Rd,BUSSELTON,6280,Busselton-Shire,South-West,-33.6609,115.3557
Shell Reddy Express Canning Vale,280 Bannister Rd,CANNING VALE,6155,South of River,Metro,-32.0705,115.8965
Shell Reddy Express Casuarina,1 Johnson Rd,BERTRAM,6167,South of River,Metro,-32.2322,115.8481
Shell Reddy Express Claremont,269 Stirling Hwy,CLAREMONT,6010,North of River,Metro,-31.9821,115.7846
Shell Reddy Express Clarkson,36 Ocean Keys Bvd,CLARKSON,6030,North of River,Metro,-31.6912,115.7179
Shell Reddy Express Cloverdale,223 Belmont Ave,CLOVERDALE,6105,South of River,Metro,-31.965,115.9331
Shell Reddy Express Collie,57 Johnston St,COLLIE,6225,Collie,South-West,-33.3574,116.152
Shell Reddy Express Dampier,47 Church Rd,DAMPIER,6713,Dampier,Pilbara,-20.6652,116.707
Shell Reddy Express Dianella,67 Walter Rd West,DIANELLA,6059,North of River,Metro,-31.906,115.8825
Shell Reddy Express Duncraig,193 Warwick Rd,DUNCRAIG,6023,North of River,Metro,-31.8357,115.7829
Shell Reddy Express Dunsborough,64 Dunn Bay Rd,DUNSBOROUGH,6281,Busselton-Shire,South-West,-33.6169,115.1028
Shell Reddy Express Edgewater,57 Joondalup Dr,EDGEWATER,6027,North of River,Metro,-31.7708,115.7802
Shell Reddy Express Ellenbrook,3 Goodwood Cres,ELLENBROOK,6069,North of River,Metro,-31.7749,115.9601
Shell Reddy Express Esperance,25 Andrew St,ESPERANCE,6450,Esperance,Goldfields-Esperance,-33.8611,121.8907
Shell Reddy Express Fitzroy Crossing Roadhouse,87 Great Northern Hwy,FITZROY CROSSING,6765,Fitzroy Cross,Kimberley,-18.1979,125.5682
Shell Reddy Express Forrestfield,2 Strelitzia Ave,FORRESTFIELD,6058,East/Hills,Metro,-31.9887,116.0106
Shell Reddy Express Fremantle,101 Hampton Rd,FREMANTLE,6160,South of River,Metro,-32.0634,115.7566
Shell Reddy Express Girrawheen,60 Marangaroo Dr,GIRRAWHEEN,6064,North of River,Metro,-31.8345,115.8291
Shell Reddy Express Halls Head,14 Guava Way,HALLS HEAD,6210,Mandurah,Peel,-32.5503,115.7026
Shell Reddy Express Jolimont,6 Jersey St,JOLIMONT,6014,North of River,Metro,-31.9475,115.8118
Shell Reddy Express Karawara,222 Manning Rd,KARAWARA,6152,South of River,Metro,-32.0119,115.8842
Shell Reddy Express Karratha Travel & Truck,6 Madigan Rd,STOVE HILL,6714,Karratha,Pilbara,-20.795,116.7782
Shell Reddy Express Karratha,13 Searipple Rd,KARRATHA,6714,Karratha,Pilbara,-20.7355,116.8492
Shell Reddy Express Kewdale,518 Abernethy Rd,KEWDALE,6105,South of River,Metro,-31.9801,115.9584
Shell Reddy Express Kingsley,47 Renegade Way,KINGSLEY,6026,North of River,Metro,-31.8204,115.8055
Shell Reddy Express Kununurra Roadhouse,17 Poinciana St,KUNUNURRA,6743,Kununurra,Kimberley,-15.7808,128.7321
Shell Reddy Express Kwinana Beach,4 Beach St,KWINANA BEACH,6167,South of River,Metro,-32.2438,115.7764
Shell Reddy Express Lakelands,49 Banksiadale Gte,LAKELANDS,6180,Mandurah,Peel,-32.4723,115.7591
Shell Reddy Express Langford,70 Nicholson Rd,LANGFORD,6147,South of River,Metro,-32.032,115.9388
Shell Reddy Express Leeming,29/51 Farrington St,LEEMING,6149,South of River,Metro,-32.0789,115.8576
Shell Reddy Express Maddington,117 Burslem Dr,MADDINGTON,6109,South of River,Metro,-32.0555,115.98
Shell Reddy Express Malaga,492 Alexander Dr,MALAGA,6090,North of River,Metro,-31.8633,115.8796
Shell Reddy Express Mandurah,Cnr Pinjarra Rd & Watson Dr,BARRAGUP,6209,Murray,Peel,-32.5521,115.7791
Shell Reddy Express Meekatharra Roadhouse,Lot 821 Main St,MEEKATHARRA,6642,Meekatharra,Mid-West,-26.5982,118.4913
Shell Reddy Express Middle Swan,Lot 46 Great Northern Hwy,MIDDLE SWAN,6056,East/Hills,Metro,-31.8747,116.0108
Shell Reddy Express Mosman Park,582 Stirling Hwy,MOSMAN PARK,6012,North of River,Metro,-32.0052,115.7594
Shell Reddy Express Mount Lawley,253 Walcott St,NORTH PERTH,6006,North of River,Metro,-31.9238,115.8592
Shell Reddy Express Mount Pleasant,1 The Esplanade,MOUNT PLEASANT,6153,South of River,Metro,-32.0126,115.8501
Shell Reddy Express Myaree,69 North Lake Rd,MYAREE,6154,South of River,Metro,-32.0396,115.8153
Shell Reddy Express Northam,10 Beamish Ave,NORTHAM,6401,Northam-Shire,Wheatbelt,-31.6576,116.6704
Shell Reddy Express Ocean Reef,6 Marina Bvd,OCEAN REEF,6027,North of River,Metro,-31.7674,115.7495
Shell Reddy Express Osborne Park,11 Roberts St West,OSBORNE PARK,6017,North of River,Metro,-31.9075,115.819
Shell Reddy Express Palmyra,80 Carrington St,PALMYRA,6157,South of River,Metro,-32.0473,115.7798
Shell Reddy Express Perth,480 William St,PERTH,6000,North of River,Metro,-31.9409,115.8641
Shell Reddy Express Port Hedland,Lot 2065 Wilson St,PORT HEDLAND,6721,Port Hedland,Pilbara,-20.3129,118.5856
Shell Reddy Express Scarborough,205 West Coast Hwy,SCARBOROUGH,6019,North of River,Metro,-31.8928,115.7572
Shell Reddy Express South Hedland Roadhouse,Lot 5553 Great Northern Hwy,WEDGEFIELD,6721,Port Hedland,Pilbara,-20.3716,118.6119
Shell Reddy Express South Perth,3 Canning Hwy,SOUTH PERTH,6151,South of River,Metro,-31.9746,115.882
Shell Reddy Express Southern River,216 Lakey St,SOUTHERN RIVER,6110,South of River,Metro,-32.1039,115.9353
Shell Reddy Express Upper Swan Roadhouse,1333 Great Northern Hwy,UPPER SWAN,6069,East/Hills,Metro,-31.7747,116.026
Shell Reddy Express Vasse,2 Napoleon Prom,VASSE,6280,Busselton-Shire,South-West,-33.675,115.2513
Shell Reddy Express Victoria Park,66 Kent St,EAST VICTORIA PARK,6101,South of River,Metro,-31.9857,115.8962
Shell Reddy Express Waikiki,1-9 Gnangara Dr,WAIKIKI,6169,South of River,Metro,-32.3142,115.7535
Shell Reddy Express Wangara,1 Niche Pde,WANGARA,6065,North of River,Metro,-31.792,115.8526
Shell Reddy Express Warwick,274 Erindale Rd,WARWICK,6024,North of River,Metro,-31.8445,115.8127
Shell Reddy Express Wembley,337 Cambridge St,WEMBLEY,6014,North of River,Metro,-31.9413,115.8118
Shell Reddy Express West Perth,30 Thomas St,WEST PERTH,6005,North of River,Metro,-31.9455,115.8397
Shell Reddy Express Westfield,88 Champion Dr,SEVILLE GROVE,6112,South of River,Metro,-32.1305,116.001
Shell Reddy Express Willetton,239-247 High Rd,WILLETTON,6155,South of River,Metro,-32.0391,115.894
Smart Mart Newman,Lot 1 Newman Dr,NEWMAN,6753,Newman,Pilbara,-23.3507,119.7411
Smart Mart Pure Convenience - Flores Rd,280 Fourth St,WONTHELLA,6530,Geraldton,Mid-West,-28.7643,114.6337
Smiths Shell Service,86 Avon Tce,YORK,6302,York,Wheatbelt,-31.8907,116.7687
United Albany Central,309 Albany Hwy,MOUNT MELVILLE,6330,Albany,Great Southern,-35.0057,117.8668
United Anketell South,811 Thomas Rd,ANKETELL,6167,South of River,Metro,-32.229,115.8577
United Anketell,5 Albina Ave,ANKETELL,6167,South of River,Metro,-32.2114,115.8558
United Armadale,178 South Western Hwy,ARMADALE,6112,South of River,Metro,-32.1614,116.0177
United Bibra Lake,13 Whyalla Ct,BIBRA LAKE,6163,South of River,Metro,-32.0939,115.8025
United Boulder Kalgoorlie,26 Davis St,BOULDER,6432,Boulder,Goldfields-Esperance,-30.7787,121.4891
United Broome,49 Reid Rd,CABLE BEACH,6726,Broome,Kimberley,-17.961,122.2152
United Byford,801-803 South Western Hwy,BYFORD,6122,South of River,Metro,-32.2154,116.0084
United Denmark,45 South Coast Hwy,DENMARK,6333,Denmark,Great Southern,-34.961,117.354
United East Victoria Park,916 Albany Hwy,EAST VICTORIA PARK,6101,South of River,Metro,-31.9878,115.9056
United Ellenbrook,3 Locke Lane,ELLENBROOK,6069,North of River,Metro,-31.7786,115.9671
United Hamilton Hill,9 Winterfold Rd,HAMILTON HILL,6163,South of River,Metro,-32.075,115.7809
United Hepburn Heights,4 Walter Padbury Bvd,PADBURY,6025,North of River,Metro,-31.8191,115.774
United Kellerberrin Truck Stop,150 Massingham St,KELLERBERRIN,6410,Kellerberrin,Wheatbelt,-31.6333,117.7279
United Kewdale Truck Stop,410-412 Orrong Rd,KEWDALE,6105,South of River,Metro,-31.9898,115.9393
United Kojonup,138 Albany Hwy,KOJONUP,6395,Kojonup,Great Southern,-33.8384,117.1603
United Leda,2 Feilman Dr,LEDA,6170,South of River,Metro,-32.26,115.8065
United Lexia Truck Stop,779 Gnangara Rd,LEXIA,6065,North of River,Metro,-31.7952,115.8995
United Maddington Truck Stop,13 Stebbing Rd,MADDINGTON,6109,South of River,Metro,-32.0424,115.9911
United Manjimup,1 Rose St,MANJIMUP,6258,Manjimup,South-West,-34.2441,116.1429
United Mount Barker Roadhouse Truck Stop,31763 Albany Hwy,MOUNT BARKER,6324,Mt Barker,Great Southern,-34.6197,117.6621
United Myaree,182 Leach Hwy,MYAREE,6154,South of River,Metro,-32.0463,115.8126
United Naval Base Truck Stop,13 Lionel St,NAVAL BASE,6165,South of River,Metro,-32.1954,115.7832
United Neerabup Truck Stop,2038 Wanneroo Rd,NEERABUP,6031,North of River,Metro,-31.6724,115.7433
United Northbridge,31 Fitzgerald St,NORTHBRIDGE,6003,North of River,Metro,-31.9457,115.8523
United Osborne Park,479 Scarborough Beach Rd,OSBORNE PARK,6017,North of River,Metro,-31.9049,115.806
United Perth Airport Truck Stop,Airport Dr (Cnr Paltridge Rd),PERTH AIRPORT,6105,South of River,Metro,-31.9564,115.9737
United Pinjarra Truck Stop,1602 Pinjarra Rd,PINJARRA,6208,Murray,Peel,-32.611,115.8476
United Rangeway Truck Stop,50 Rifle Range Rd,RANGEWAY,6530,Geraldton,Mid-West,-28.7844,114.6293
United South Lake,49 Berrigan Dr,SOUTH LAKE,6164,South of River,Metro,-32.1108,115.8395
United Southern River,Lot 101 Terrier Pl,SOUTHERN RIVER,6110,South of River,Metro,-32.1211,115.9547
United Swanbourne,2 Servetus St,SWANBOURNE,6010,North of River,Metro,-31.9835,115.7673
United Tapping,1369 Wanneroo Rd,WANNEROO,6065,North of River,Metro,-31.7197,115.7834
United Vasse Truck Stop,210 Northerly St,VASSE,6280,Busselton-Shire,South-West,-33.6835,115.2322
Vibe Armadale,126 Forrest Rd,ARMADALE,6112,South of River,Metro,-32.1582,116.0019
Vibe Ascot,268 Great Eastern Hwy,ASCOT,6104,South of River,Metro,-31.9364,115.9333
Vibe Bayswater,120 Beechboro Rd South,BAYSWATER,6053,North of River,Metro,-31.9049,115.9166
Vibe Bedford,168 Walter Rd West,BEDFORD,6052,North of River,Metro,-31.9001,115.8891
Vibe Beechboro,495 Beechboro Rd North,BEECHBORO,6063,North of River,Metro,-31.8689,115.9243
Vibe Bridgetown,169 Hampton St,BRIDGETOWN,6255,B-Town/G-Bushes,South-West,-33.9573,116.1369
Vibe Broadwater,375 Bussell Hwy,BROADWATER,6280,Busselton-Shire,South-West,-33.6593,115.2981
Vibe Bullsbrook Northlink,1769 Neaves Rd,BULLSBROOK,6084,North of River,Metro,-31.6547,115.9723
Vibe Bullsbrook,2533 Great Northern Hwy,BULLSBROOK,6084,North of River,Metro,-31.6719,116.0314
Vibe Bunbury Strickland St,81 King Rd,EAST BUNBURY,6230,Bunbury,South-West,-33.336,115.6545
Vibe Bunbury,42 Strickland St,BUNBURY,6230,Bunbury,South-West,-33.3361,115.647
Vibe Byford,868 South Western Hwy,BYFORD,6122,South of River,Metro,-32.2212,116.0094
Vibe Canning Vale,6 Birnam Rd,CANNING VALE,6155,South of River,Metro,-32.0752,115.9231
Vibe Charles St,427 Charles St,NORTH PERTH,6006,North of River,Metro,-31.9222,115.8502
Vibe Coolgardie,1 Bayley St,COOLGARDIE,6429,Coolgardie,Goldfields-Esperance,-30.955,121.1725
Vibe Donnybrook,45 South Western Hwy,DONNYBROOK,6239,D-Brook/Bal-Up,South-West,-33.5757,115.8251
Vibe East Bunbury,13 Picton Rd,EAST BUNBURY,6230,Bunbury,South-West,-33.3456,115.6602
Vibe Forrestfield,159 Milner Rd,FORRESTFIELD,6058,East/Hills,Metro,-31.9612,115.9923
Vibe Hamilton Hill,114 Rockingham Rd,HAMILTON HILL,6163,South of River,Metro,-32.0861,115.7773
Vibe Harvey,46 South Western Hwy,HARVEY,6220,Harvey,South-West,-33.0826,115.9054
Vibe Henderson,Lot 104 Russel Rd,HENDERSON,6166,South of River,Metro,-32.1459,115.7888
Vibe Jandakot,630 Karel Ave,JANDAKOT,6164,South of River,Metro,-32.0901,115.8706
Vibe Kalamunda,7 Mead St,KALAMUNDA,6076,East/Hills,Metro,-31.9736,116.0594
Vibe Kwinana OPT,Cnr Mandurah Rd & Beach St,KWINANA BEACH,6167,South of River,Metro,-32.1042,115.9441
Vibe Kwinana Town Centre,6 Chisham Ave,KWINANA TOWN CENTRE,6167,South of River,Metro,-32.2443,115.8156
Vibe Mandurah,2 Rafferty Rd,MANDURAH,6210,Mandurah,Peel,-32.5173,115.7439
Vibe Morley,430 Morley Dr,MORLEY,6062,North of River,Metro,-31.8878,115.89
Vibe Mt Helena,9 McVicar Pl,MOUNT HELENA,6082,East/Hills,Metro,-31.8783,116.209
Vibe Neerabup,1 Pinnacle Dr,NEERABUP,6031,North of River,Metro,-31.6867,115.7835
Vibe Nollamara,66 Sylvia St,NOLLAMARA,6061,North of River,Metro,-31.8805,115.8405
Vibe Osborne Park,7 Hutton St,OSBORNE PARK,6017,North of River,Metro,-31.9064,115.8137
Vibe Piara Waters,390 Nicholson Rd,PIARA WATERS,6112,South of River,Metro,-32.147,115.922
Vibe Pinjarra,58 George St,PINJARRA,6208,Murray,Peel,-32.6312,115.8727
Vibe Placid Ark Roadhouse,6947 South Western Hwy,COOLUP,6214,Murray,Peel,-32.7271,115.882
Vibe Port Kennedy,35 Blackburn Dr,PORT KENNEDY,6172,South of River,Metro,-32.3716,115.7622
Vibe Siesta Park,367 Caves Rd,KEALY,6280,Busselton-Shire,South-West,-33.6579,115.2196
Vibe South Bunbury,302 Blair St,SOUTH BUNBURY,6230,Bunbury,South-West,-33.3518,115.642
Vibe Spearwood,333 Rockingham Rd,SPEARWOOD,6163,South of River,Metro,-32.1049,115.7823
Vibe Subiaco,123 Thomas St,SUBIACO,6008,North of River,Metro,-31.9521,115.8311
Vibe Toodyay Rd,2086 Toodyay Rd,GIDGEGANNUP,6083,East/Hills,Metro,-31.7945,116.193
Vibe Treendale,157 Grand Ent,AUSTRALIND,6233,Harvey,South-West,-33.2768,115.7249
Vibe Upper Swan,1447 Great Northern Hwy,UPPER SWAN,6069,East/Hills,Metro,-31.7659,116.0317
Vibe Wanneroo,964 Wanneroo Rd,WANNEROO,6065,North of River,Metro,-31.7513,115.8036
Vibe Waroona,89 South Western Hwy,WAROONA,6215,Waroona,Peel,-32.8455,115.9221
Vibe Welshpool,124 Welshpool Rd,WELSHPOOL,6106,South of River,Metro,-31.9943,115.9307
Vibe Witchcliffe,10428 Bussell Hwy,WITCHCLIFFE,6286,Augusta-M River,South-West,-33.6639,115.3592
WA Fuel Karratha,1031 Mardie Rd,KARRATHA INDUSTRIAL ESTATE,6714,Karratha,Pilbara,-20.7767,116.8618
WA Fuel Kwinana Beach,44 Mandurah Rd,KWINANA BEACH,6167,South of River,Metro,-32.2433,115.7826
WA Fuel Manjimup,54 Wetherell St,MANJIMUP,6258,Manjimup,South-West,-34.2611,116.1498
WA Fuel South Guildford,2 Kalamunda Rd,SOUTH GUILDFORD,6055,South of River,Metro,-31.914,115.9721
Walkaway General Store,1 Evans Rd,WALKAWAY,6528,Geraldton,Mid-West,-28.9402,114.8018
Walpole IGA Pioneer Store,10 Nockolds St,WALPOLE,6398,Manjimup,South-West,-34.9767,116.7304
Waroona Roadhouse,32 South Western Hwy,WAROONA,6215,Waroona,Peel,-32.84,115.9206
Whalley's United Beachway,260 Middleton Rd,MIRA MAR,6330,Albany,Great Southern,-35.0169,117.8911
Whalley's United Uberwash,225-227 Albany Hwy,MOUNT MELVILLE,6330,Albany,Great Southern,-35.0125,117.8714
Windmill Roadhouse,1 Darch St,REGANS FORD,6507,Regans Ford,Wheatbelt,-30.9794,115.7003
X Convenience Alkimos,58 Montana Cres,ALKIMOS,6038,North of River,Metro,-31.6222,115.6886
X Convenience Erskine,2 Wattleglen Ave,ERSKINE,6210,Mandurah,Peel,-32.565,115.6823
Yarrumba Service Station,21 Jose St,MULLEWA,6630,Geraldton,Mid-West,-28.5398,115.5118
Young Siding General Store,19 Station St,YOUNGS SIDING,6330,Albany,Great Southern,-35.0134,117.5227
Shell Reddy Express Margaret River,78 Bussell Hwy,MARGARET RIVER,6285,Augusta-M River,South-West,-33.6639,115.3592
S24 Forrestfield,155 Hale Rd,FORRESTFIELD,6058,East/Hills,Metro,-31.9906,116.0001
Petro Fuels Bluff Point,381 Chapman Rd,BLUFF POINT,6530,Geraldton,Mid-West,-28.7414,114.6223
OTR Bunbury,92 Blair St,BUNBURY,6230,Bunbury,South-West,-33.3299,115.6414
Burk Mount Lawley,791 Beaufort St,MOUNT LAWLEY,6050,North of River,Metro,-31.9256,115.88
Petro Fuels Munglinup,16 Tubada St,MUNGLINUP,6450,Munglinup,Goldfields-Esperance,-33.705,120.8607
Dunning's Wedgefield,6 Tailings Elb,WEDGEFIELD,6721,East/Hills,Metro,-20.3768,118.5981
Wubin Roadhouse,108 Great Northern Hwy,WUBIN,6612,Wubin,Wheatbelt,-30.1056,116.6309
